timestamp,aruco_id
1728419804.732513,[63 62 70 69 68 71]
1728419804.7584176,[63 62 70 68 69 71]
1728419804.7828147,[63 62 69 70 68 71]
1728419804.8071475,[63 62 70 68 69 71]
1728419804.828445,[63 62 70 68 69 71]
1728419804.852344,[63 62 61 70 69 68 71]
1728419804.8766315,[63 62 70 69 68 71]
1728419804.896906,[62 63 61 69 70 71]
1728419804.920363,[63 62 61 69 70 71]
1728419804.943714,[63 62 61 68 70 71]
1728419804.9655564,[63 62 68 70 71]
1728419804.9848027,[63 62 61 70 69 71]
1728419805.0081053,[63 62 61 70 69 71]
1728419805.0273974,[62 63 64 61 70 68 69 71]
1728419805.050702,[63 64 62 61 68 69 70 71]
1728419805.0726278,[63 62 64 61 68 69]
1728419805.0949602,[63 62 64 65 61 69 68]
1728419805.115287,[63 62 61 68]
1728419805.1366038,[63 61 68]
1728419805.159014,[63 61 62 64 65 69 68 71]
1728419805.18143,[63 61 62 64 69 68 71]
1728419805.2052615,[63 64 62 65 61 69 70 68 71]
1728419805.2306368,[63 64 65 62 61 69 70 68 71]
1728419805.2575662,[63 61 64 62 65 69 70 71]
1728419805.287068,[63 61 64 62 65 69 70 68 71]
1728419805.312946,[64 62 65 61 68 69 70 71]
1728419805.3424737,[63 62 64 65 61 68 69 70 71]
1728419805.3724463,[63 61 62 64 65 69 71 68 70]
1728419805.3984468,[63 61 62 64 65 69 71 68 70]
1728419805.4294243,[63 62 61 64 65 68 69 71 70]
1728419805.4583442,[63 62 61 64 65 68 69 71 70]
1728419805.4902966,[63 62 64 65 68 69 70 71]
1728419805.519244,[63 62 64 61 65 68 69 70 71]
1728419805.5502162,[63 62 61 64 65 68 70 69 71]
1728419805.5776353,[63 62 65 61 64 68 70 69 71]
1728419805.6055486,[63 62 61 65 64 69 70 68 71]
1728419805.6335955,[63 62 64 61 65 69 70 68 71]
1728419805.6610389,[63 62 64 61 65 70 68 69 71]
1728419805.6843765,[63 62 64 65 61 70 68 69 71]
1728419805.7098432,[62 63 64 65 61 69 68 70 71]
1728419805.7326844,[62 63 64 65 61 69 68 70 71]
1728419805.755003,[63 62 64 61 69 70 68 71]
1728419805.780453,[63 62 64 61 69 70 68 71]
1728419805.803325,[63 62 61 69 70 68 71]
1728419805.8312094,[63 62 70 69 68 71]
1728419805.857093,[63 62 61 68 70]
1728419805.879498,[63 62 61 68 70]
1728419805.903353,[62 61 69 68 70]
1728419805.9282432,[62 61 69 68 70]
1728419805.9541752,[69 68 70 71]
1728419805.9796147,[69 68 70 71]
1728419806.0044956,[70 69 68]
1728419806.0294306,[70 68 69]
1728419806.049731,[71]
1728419806.069478,[71]
1728419806.370559,[37]
1728419808.8165174,[69 70 71]
1728419808.8383868,[69 70 71]
1728419808.8572538,[69 66 68 70]
1728419808.8755503,[69 66 68 70]
1728419808.8929553,[68 66]
1728419808.9122493,[68 66]
1728419810.5593617,[17]
1728419812.5103362,[17]
1728419812.5245752,[17]
1728419813.3034892,[37]
1728419813.9298995,[17]
1728419815.5126603,[37]
1728419816.1405706,[37]
1728419816.1603587,[37]
1728419816.7056615,[37]
1728419818.9052644,[17]
1728419818.9271114,[17]
1728419818.9505212,[17]
1728419819.2981305,[37]
1728419823.6263564,[0]
1728419823.6395078,[0]
1728419823.6543388,[0]
1728419823.671633,[0]
1728419823.690488,[0]
1728419823.7056658,[0]
1728419823.8795657,[0]
1728419823.8952706,[0]
1728419824.0995255,[66]
1728419824.3603776,[0]
1728419824.392431,[0]
1728419824.4102702,[0]
1728419824.4285896,[0]
1728419824.4473774,[0]
1728419824.4646852,[0]
1728419824.4824724,[0]
1728419824.498215,[0]
1728419824.514469,[0]
1728419824.6893847,[0]
